symbol,date,price
AGS,2008,9.28
BC,2008,6.43
BCS,2008,5.17
CAMP,2008,6.42
5,2008,6.59
6,2008,4.89
7,2008,7.76
8,2008,7.09
9,2008,13.42
10,2008,7.40
11,2008,8.31
12,2008,8.19
13,2008,7.76
14,2008,7.83
15,2008,9.18
16,2008,7.97
17,2008,8.32
18,2008,5.97
19,2008,7.07
20,2008,7.75
21,2008,8.33
22,2008,8.27
23,2008,7.38
24,2008,7.95
25,2008,5.76
26,2008,5.39
27,2008,7.37
28,2008,6.32
29,2008,8.18
30,2008,6.36
31,2008,9.84
32,2008,8.43
AGS,2009,9.43
BC,2009,6.23
BCS,2009,5.25
CAMP,2009,6.78
5,2009,6.61
6,2009,5.64
7,2009,7.95
8,2009,7.07
9,2009,13.30
10,2009,7.78
11,2009,8.79
12,2009,8.42
13,2009,8.35
14,2009,8.09
15,2009,9.62
16,2009,8.46
17,2009,8.89
18,2009,6.11
19,2009,7.76
20,2009,7.53
21,2009,9.04
22,2009,8.41
23,2009,7.46
24,2009,8.14
25,2009,6.35
26,2009,5.58
27,2009,7.76
28,2009,6.60
29,2009,8.94
30,2009,6.87
31,2009,9.90
32,2009,9.36
AGS,2010,9.36
BC,2010,6.37
BCS,2010,5.34
CAMP,2010,7.09
5,2010,6.65
6,2010,5.09
7,2010,8.44
8,2010,7.51
9,2010,13.26
10,2010,7.56
11,2010,8.60
12,2010,8.62
13,2010,8.47
14,2010,7.28
15,2010,10.02
16,2010,8.87
17,2010,8.86
18,2010,6.71
19,2010,7.90
20,2010,8.14
21,2010,8.72
22,2010,8.76
23,2010,8.06
24,2010,8.24
25,2010,5.93
26,2010,5.57
27,2010,7.84
28,2010,6.85
29,2010,9.46
30,2010,6.84
31,2010,10.16
32,2010,8.94
AGS,2011,6.57
BC,2011,4.08
BCS,2011,3.89
CAMP,2011,4.81
5,2011,4.55
6,2011,3.36
7,2011,4.04
8,2011,5.07
9,2011,8.81
10,2011,5.08
11,2011,5.50
12,2011,4.63
13,2011,5.01
14,2011,5.30
15,2011,5.81
16,2011,5.46
17,2011,5.54
18,2011,3.97
19,2011,5.64
20,2011,4.12
21,2011,5.40
22,2011,5.80
23,2011,3.81
24,2011,5.88
25,2011,4.03
26,2011,3.99
27,2011,4.52
28,2011,4.32
29,2011,5.57
30,2011,4.09
31,2011,6.35
32,2011,5.92
AGS,2012,6.66
BC,2012,4.46
BCS,2012,3.94
CAMP,2012,4.78
5,2012,4.54
6,2012,3.27
7,2012,4.14
8,2012,5.09
9,2012,8.90
10,2012,5.14
11,2012,5.72
12,2012,4.59
13,2012,4.99
14,2012,5.23
15,2012,6.09
16,2012,5.20
17,2012,5.37
18,2012,4.16
19,2012,5.70
20,2012,4.42
21,2012,5.36
22,2012,5.83
23,2012,4.38
24,2012,5.86
25,2012,4.21
26,2012,4.47
27,2012,5.16
28,2012,4.30
29,2012,5.58
30,2012,4.15
31,2012,6.67
32,2012,6.12
AGS,2013,6.71
BC,2013,4.55
BCS,2013,3.86
CAMP,2013,5.00
5,2013,4.65
6,2013,3.67
7,2013,4.44
8,2013,5.44
9,2013,9.00
10,2013,5.45
11,2013,5.89
12,2013,4.73
13,2013,5.08
14,2013,5.33
15,2013,6.22
16,2013,5.49
17,2013,5.79
18,2013,3.94
19,2013,5.97
20,2013,4.25
21,2013,5.59
22,2013,6.32
23,2013,4.93
24,2013,5.98
25,2013,4.35
26,2013,4.62
27,2013,4.89
28,2013,4.40
29,2013,5.70
30,2013,4.14
31,2013,6.28
32,2013,6.20
AGS,2014,6.38
BC,2014,4.44
BCS,2014,4.11
CAMP,2014,4.99
5,2014,5.01
6,2014,3.67
7,2014,4.71
8,2014,5.47
9,2014,8.99
10,2014,5.49
11,2014,6.31
12,2014,4.76
13,2014,5.67
14,2014,5.57
15,2014,6.33
16,2014,5.48
17,2014,6.18
18,2014,4.13
19,2014,6.08
20,2014,4.31
21,2014,5.98
22,2014,6.59
23,2014,4.85
24,2014,6.19
25,2014,4.48
26,2014,4.64
27,2014,5.20
28,2014,4.38
29,2014,5.85
30,2014,4.38
31,2014,6.49
32,2014,6.41
AGS,2015,6.54
BC,2015,4.42
BCS,2015,4.31
CAMP,2015,5.20
5,2015,5.01
6,2015,3.50
7,2015,4.69
8,2015,5.53
9,2015,9.32
10,2015,5.93
11,2015,6.32
12,2015,4.74
13,2015,5.48
14,2015,5.52
15,2015,6.32
16,2015,5.58
17,2015,6.16
18,2015,4.29
19,2015,6.17
20,2015,4.62
21,2015,5.93
22,2015,6.36
23,2015,5.08
24,2015,6.30
25,2015,4.83
26,2015,4.53
27,2015,5.14
28,2015,4.44
29,2015,6.44
30,2015,4.61
31,2015,6.52
32,2015,7.01
